movie_id,avg_user_rating,rating_count,rating_std,positive_ratio,catalog_score,catalog_voted_by,bayesian_score_norm,popularity_rank,language_encoded,n_genres,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_foreign,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_science_fiction,genre_tv_movie,genre_thriller,genre_war,genre_western
2,3.673664,262,0.91185635,0.5534351,7.1,44,0.5822099,9099,23,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.770115,87,0.8051722,0.59770113,7.1,35,0.57033074,10194,23,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3.4090312,6090,1.0347892,0.43924466,6.5,539,0.593172,1932,17,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.9248624,1271,0.9100256,0.22029898,6.4,79,0.54570043,6650,17,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,4.1322994,77045,0.98104876,0.76294374,8.1,6778,0.8725826,38,17,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,3.855151,33887,0.8716298,0.62923837,7.6,6292,0.7882982,52,17,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,4.052926,91921,0.9445726,0.724916,8.2,8147,0.8899802,22,17,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
14,4.130704,57879,0.9072821,0.75889355,7.9,3438,0.8360447,229,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4.094047,20830,0.99300873,0.73192513,8.0,1244,0.8422316,909,17,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
16,3.8416102,4571,1.0771818,0.65149856,7.7,392,0.76641124,2445,17,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
