feature,importance_gain,importance_split
candidate_rating_count,3552293.5700438023,2910
rating_count_log,778830.0220789909,585
candidate_popularity_rank,231503.63827300072,1665
candidate_positive_ratio,113953.08846116066,1891
baseline_score,99737.67010188103,3450
candidate_popularity_percentile,79895.69262838364,1517
genre_overlap_count,77087.51621389389,502
score_diff,75383.6237795353,2482
embedding_similarity,58971.556901693344,3548
candidate_avg_rating,50099.69546151161,1952
candidate_rating_cv,35155.98458182812,2282
actor_overlap,35014.227524995804,645
candidate_bayesian_norm,32301.406059741974,1864
similarity_percentile,28761.925928235054,2499
embedding_rank,27953.88896369934,2529
keyword_overlap,26673.920330047607,1409
director_match,18202.400555849075,243
collection_match,18040.712095737457,155
title_token_overlap,17135.99622797966,889
genre_overlap,15790.010141134262,1062
keyword_overlap_count,4539.31880235672,331
